File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\about.php,57,31,15,10,0,42,5,0,5,0,3,0,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\common.php,25,13,6,5,0,8,6,0,5,0,3,1,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\contact.php,57,31,15,10,0,42,5,0,5,0,3,0,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\cssmw\cssmw\menu.js,1663,668,609,385,870,314,173,36,177,0,76,13,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\cssmw\menu.js,1663,668,609,385,870,314,173,36,177,0,76,13,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\data_db.php,40,23,10,6,0,34,0,0,2,0,3,1,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\downloads.php,86,46,23,16,0,51,17,0,9,0,4,3,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\footermenu.php,40,22,10,7,0,17,10,0,2,0,6,3,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\header.php,141,74,40,26,0,17,80,0,1,0,17,26,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\index.php,139,74,38,26,0,68,40,0,9,0,9,11,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\latestpost.php,65,45,11,8,0,25,5,0,2,10,8,12,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\leftmenu.php,62,33,17,11,0,17,26,0,1,0,9,8,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\links.php,34,19,8,6,0,17,6,0,1,0,6,3,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\memberlist.php,23491,8886,8960,5645,12007,2550,2864,136,4612,33,807,481,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\products.php,57,31,15,10,0,42,5,0,5,0,3,0,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\sendmessage.php,117,55,38,23,0,68,12,0,30,0,4,3,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\topmenu.php,75,43,19,13,0,17,32,0,1,0,10,15,
C:\Users\Lenovo\Documents\Ful PHP website [www.students3k.com]\wrini.php,2897,1108,1109,679,1833,272,246,157,248,0,112,27,

Entire Project Time,=SUM(B3:B20),=SUM(C3:C20),=SUM(D3:D20),=SUM(E3:E20),=SUM(F3:F20),=SUM(G3:G20),=SUM(H3:H20),=SUM(I3:I20),=SUM(J3:J20),=SUM(K3:K20),=SUM(L3:L20),=SUM(M3:M20),
